Heure; Bilan [kWh]; Stockage [kWh]; Température du stock [°C]; COP chauffage; COP ECS; ECS Gachée
67.000000;0.000000;392746.776339;78.557842;5.000000;5.000000;0.000000;427.264581
68.000000;0.000000;392509.921447;78.518909;5.000000;5.000000;0.000000;249.903749
69.000000;0.000000;392374.121228;78.496587;5.000000;5.000000;0.000000;265.348121
70.000000;0.000000;392241.281487;78.474751;5.000000;5.000000;0.000000;279.259868
71.000000;0.000000;392121.094364;78.454995;5.000000;5.000000;0.000000;295.012235
72.000000;-0.000000;392020.585641;78.438474;5.000000;5.000000;0.000000;351.342831
73.000000;0.000000;391915.887791;78.421264;5.000000;5.000000;0.000000;408.822896
74.000000;0.000000;391807.320518;78.403419;5.000000;5.000000;0.000000;466.302961
75.000000;0.000000;391694.753510;78.384915;5.000000;5.000000;0.000000;523.783026
76.000000;0.000000;391566.005460;78.363752;5.000000;5.000000;0.000000;581.263091
77.000000;0.000000;391517.223006;78.355734;5.000000;5.000000;0.000000;600.000000
78.000000;0.000000;391324.672699;78.324083;5.000000;5.000000;0.000000;600.000000
79.000000;0.000000;390700.949751;78.221559;5.000000;5.000000;0.000000;519.471068
80.000000;0.000000;390421.445884;78.175615;5.000000;5.000000;0.000000;526.432513
81.000000;0.000000;390304.630274;78.156413;5.000000;5.000000;0.000000;559.890562
82.000000;0.000000;390246.791698;78.146906;5.000000;5.000000;0.000000;600.000000
83.000000;0.000000;390214.488566;78.141596;5.000000;5.000000;0.000000;600.000000
84.000000;0.000000;390070.860590;78.117988;5.000000;5.000000;0.000000;600.000000
85.000000;0.000000;389963.183928;78.100288;5.000000;5.000000;0.000000;532.475308
86.000000;0.000000;389917.439758;78.092769;5.000000;5.000000;0.000000;561.304196
87.000000;0.000000;389875.065656;78.085804;5.000000;5.000000;0.000000;587.616653
88.000000;0.000000;389810.205980;78.075142;5.000000;5.000000;0.000000;600.000000
89.000000;0.000000;389567.352413;78.035223;5.000000;5.000000;0.000000;600.000000
90.000000;0.000000;389019.168985;77.945115;5.000000;5.000000;0.000000;600.000000
91.000000;0.000000;388639.628197;77.882728;5.000000;5.000000;0.000000;483.537126
92.000000;0.000000;388392.257964;77.842067;5.000000;5.000000;0.000000;332.352906
93.000000;0.000000;388249.803913;77.818651;5.000000;5.000000;0.000000;369.430842
94.000000;-0.000000;388108.879662;77.795486;5.000000;5.000000;0.000000;404.976152
95.000000;0.000000;387976.936423;77.773798;5.000000;5.000000;0.000000;442.362083
96.000000;0.000000;387855.141153;77.753778;5.000000;5.000000;0.000000;497.815643
97.000000;0.000000;387729.553788;77.733135;5.000000;5.000000;0.000000;554.418671
98.000000;0.000000;387624.923519;77.715936;5.000000;5.000000;0.000000;600.000000
99.000000;0.000000;387623.865548;77.715762;5.000000;5.000000;0.000000;600.000000
100.000000;0.000000;387616.428031;77.714540;5.000000;5.000000;0.000000;600.000000
101.000000;0.000000;387604.043208;77.712504;5.000000;5.000000;0.000000;600.000000
102.000000;0.000000;387409.066951;77.680455;5.000000;5.000000;0.000000;600.000000
103.000000;0.000000;386787.828873;77.578338;5.000000;5.000000;0.000000;518.409854
104.000000;0.000000;386511.340756;77.532891;5.000000;5.000000;0.000000;525.356081
105.000000;0.000000;386420.595751;77.517974;5.000000;5.000000;0.000000;580.559820
106.000000;0.000000;386508.076101;77.532354;5.000000;5.000000;0.000000;600.000000
107.000000;0.000000;386567.762925;77.542165;5.000000;5.000000;0.000000;600.000000
108.000000;0.000000;386563.694684;77.541496;5.000000;5.000000;0.000000;600.000000
109.000000;0.000000;386892.127087;77.595482;5.000000;5.000000;0.000000;583.032694
110.000000;0.000000;387314.982486;77.664989;5.000000;5.000000;0.000000;600.000000
111.000000;0.000000;387417.465151;77.681835;5.000000;5.000000;0.000000;600.000000
112.000000;0.000000;387401.924291;77.679281;5.000000;5.000000;0.000000;600.000000
113.000000;0.000000;387150.390950;77.637935;5.000000;5.000000;0.000000;600.000000
114.000000;0.000000;386597.795567;77.547102;5.000000;5.000000;0.000000;600.000000
115.000000;0.000000;386217.895193;77.484655;5.000000;5.000000;0.000000;482.475912
116.000000;0.000000;385968.801891;77.443711;5.000000;5.000000;0.000000;330.230478
117.000000;0.000000;385824.368356;77.419969;5.000000;5.000000;0.000000;366.431377
118.000000;0.000000;385676.348216;77.395639;5.000000;5.000000;0.000000;401.099652
119.000000;0.000000;385536.350932;77.372626;5.000000;5.000000;0.000000;437.608546
120.000000;0.000000;385413.859507;77.352492;5.000000;5.000000;0.000000;493.062106
121.000000;0.000000;385285.884022;77.331456;5.000000;5.000000;0.000000;549.665134
122.000000;0.000000;385167.916629;77.312065;5.000000;5.000000;0.000000;600.000000
123.000000;0.000000;385160.334208;77.310819;5.000000;5.000000;0.000000;600.000000
124.000000;0.000000;385146.711245;77.308579;5.000000;5.000000;0.000000;600.000000
125.000000;0.000000;385128.884834;77.305649;5.000000;5.000000;0.000000;600.000000
126.000000;0.000000;384906.411878;77.269080;5.000000;5.000000;0.000000;600.000000
127.000000;0.000000;384251.554155;77.161438;5.000000;5.000000;0.000000;518.409854
128.000000;0.000000;383942.807024;77.110687;5.000000;5.000000;0.000000;523.847899
129.000000;0.000000;383803.009068;77.087708;5.000000;5.000000;0.000000;541.993457
