heure,prodPV,prodHydro,prodSolTh,consChal,consECS,consFroid,consElec
1,0.0,61.62076,0.0,38.43,0.0,-0.0,27.33488862
2,0.0,61.62076,0.0,42.7095,0.0,-0.0,27.33488862
3,0.0,61.62076,0.0,46.4985,0.0,-0.0,27.33488862
4,0.0,61.62076,0.0,50.436,0.0,-0.0,27.33488862
5,0.0,61.62076,0.0,54.378,0.0,-0.0,27.33488862
6,0.0,61.62076,0.0,57.2895,135.82578397142856,-0.0,47.669872
7,0.0,61.62076,0.0,61.164,469.60834397142855,-0.0,163.7710804
8,10.428,61.62076,0.0,51.534,139.6665072,-0.0,84.32736978
9,180.12,61.62076,71.10000000000001,19.6605,15.73080307563025,-0.0,74.8521068
10,336.53999999999996,61.62076,47.4,1.7955,13.90501910420167,-0.0,78.27106451
11,452.19599999999997,61.62076,71.10000000000001,1.368,149.43350380840332,-0.0,83.26567339
12,488.22,61.62076,47.4,1.4535,298.38055306386553,-0.0,77.93226975
13,447.456,61.62076,1208.7,2.4795,183.13785497647058,-0.0,206.4590438
14,346.02,61.62076,900.6000000000001,1.9664999999999997,36.55358497815124,-0.0,96.53418264
15,199.08000000000004,61.62076,71.10000000000001,13.6485,12.0792351327731,-0.0,82.00125797
16,18.96,61.62076,0.0,23.697,10.25345116134453,-0.0,77.00664909
17,0.0,61.62076,0.0,27.7335,209.97989776134452,-0.0,72.79986579
18,0.0,61.62076,0.0,28.8495,475.9954290756302,-0.0,83.5395442
19,0.0,61.62076,0.0,29.88,286.03597908403367,-0.0,196.4382996
20,0.0,61.62076,0.0,34.101,151.30982851260507,-0.0,228.0031602
21,0.0,61.62076,0.0,39.8565,44.2231411764706,-0.0,49.77723103
22,0.0,61.62076,0.0,47.7225,38.6952485294118,-0.0,51.46311826
23,0.0,61.62076,0.0,59.5395,22.1115705882353,-0.0,49.43843627
24,0.0,60.33444,0.0,65.034,0.0,-0.0,28.59930404
25,0.0,60.33444,0.0,69.705,0.0,-0.0,27.33488862
26,0.0,60.33444,0.0,73.9845,0.0,-0.0,27.33488862
27,0.0,60.33444,0.0,78.1785,0.0,-0.0,27.33488862
28,0.0,60.33444,0.0,82.053,0.0,-0.0,27.33488862
29,0.0,60.33444,0.0,86.94,0.0,-0.0,27.33488862
