Heure; Bilan [kWh]; Stockage [kWh]; Température du stock [°C]; COP chauffage; COP ECS
1.000000;0.000000;739.542530;14.106367;9.481961;3.622328
2.000000;0.000000;739.542530;14.106367;9.536838;3.629588
