Heure;Bilan [kWh];Stockage eau [kWh];Température du stock [°C];COP chauffage;COP ECS;ECS Gachée [kWh];Stock batterie [kWh];Stockage hydrogene [kWh];consElecPac;pertes_horaires
48.000000;0.000000;214499.611693;49.258423;8.277523;8.272033;0.000000;23.999162;8483.810123;11.501000;11.585293
49.000000;0.000000;214415.073561;49.244527;8.272033;8.266494;0.000000;49.024605;8483.810123;11.625103;11.581235
50.000000;0.000000;214328.897322;49.230362;8.266494;8.260856;0.000000;73.839185;8483.810123;11.859397;11.577135
51.000000;0.000000;214241.336643;49.215969;8.260856;8.255136;0.000000;98.473872;8483.810123;12.059277;11.572957
52.000000;0.000000;214151.055226;49.201129;8.255136;8.249246;0.000000;122.762493;8483.810123;12.443794;11.568711
53.000000;0.000000;214059.477603;49.186076;8.249246;8.243280;0.000000;146.881090;8483.810123;12.632710;11.564333
54.000000;0.000000;213847.336069;49.151205;8.243280;8.237223;0.000000;135.541496;8483.810123;29.301803;11.559892
55.000000;0.000000;213332.384828;49.066560;8.229492;8.222850;0.000000;0.000000;8437.510721;71.281708;11.549606
56.000000;0.000000;213110.140384;49.030028;8.196216;8.189809;0.000000;0.000000;8389.550693;30.898698;11.524635
57.000000;0.000000;213062.639537;49.022220;8.184401;8.179777;0.000000;0.000000;8375.006811;11.957815;11.513858
58.000000;0.000000;213046.849971;49.019625;8.181354;8.178663;0.000000;0.000000;8360.455279;7.546508;11.511555
59.000000;0.000000;212921.043905;48.998946;8.180342;8.178224;0.000000;0.000000;8326.381419;22.874227;11.510789
60.000000;0.000000;212671.103342;48.957862;8.172284;8.170590;0.000000;0.000000;8280.804509;40.210680;11.504689
61.000000;0.000000;213393.578966;49.076619;8.211764;8.210531;0.000000;0.000000;8253.958957;24.952548;11.492569
62.000000;0.000000;213975.929540;49.172343;8.241178;8.239933;0.000000;53.688236;8253.958957;7.078261;11.527603
63.000000;0.000000;213991.683891;49.174932;8.241591;8.239559;0.000000;39.561408;8253.958957;5.778927;11.555841
64.000000;0.000000;213959.022389;49.169564;8.240118;8.237331;0.000000;21.334561;8253.958957;7.163554;11.556605
65.000000;0.000000;213729.054668;49.131763;8.236745;8.233790;0.000000;0.000000;8235.338038;31.788198;11.555021
66.000000;0.000000;213264.525450;49.055405;8.221825;8.218818;0.000000;0.000000;8154.217452;64.347081;11.543870
67.000000;0.000000;212958.999811;49.005185;8.191851;8.188354;0.000000;0.000000;7982.046008;42.499184;11.521345
68.000000;0.000000;212757.077608;48.971994;8.172256;8.167834;0.000000;0.000000;7792.644233;28.164655;11.506529
69.000000;0.000000;212643.861104;48.953384;8.159356;8.154613;0.000000;1.054290;7792.644233;15.817375;11.496738
70.000000;0.000000;212533.254648;48.935203;8.152142;8.147264;0.000000;0.870824;7792.644233;15.468041;11.491248
71.000000;0.000000;212433.758680;48.918848;8.145106;8.140018;0.000000;3.931380;7792.644233;13.926986;11.485885
72.000000;0.000000;212351.531490;48.905332;8.138787;8.133572;0.000000;49.332137;7792.644233;11.518370;11.481060
73.000000;0.000000;212265.636823;48.891213;8.133572;8.128132;0.000000;95.400586;7792.644233;12.040906;11.477073
74.000000;0.000000;212176.356045;48.876537;8.128132;8.122485;0.000000;141.033233;7792.644233;12.525130;11.472908
75.000000;0.000000;212083.575848;48.861287;8.122485;8.116625;0.000000;186.214754;7792.644233;13.026381;11.468579
76.000000;0.000000;211976.616740;48.843705;8.116625;8.109879;0.000000;229.593494;7792.644233;15.029472;11.464080
77.000000;0.000000;211861.216339;48.824736;8.109879;8.102615;0.000000;250.000000;7798.481797;16.230993;11.458893
