Heure; Bilan [kWh]; Stockage [kWh]; Température du stock [°C]; COP chauffage; COP ECS; ECS Gachée
75.000000;0.000000;1592665.047972;79.448671;5.000000;5.000000;0.000000
76.000000;0.000000;1592505.775942;79.442126;5.000000;5.000000;0.000000
77.000000;0.000000;1592426.349262;79.438862;5.000000;5.000000;0.000000
78.000000;0.000000;1592202.414804;79.429660;5.000000;5.000000;0.000000
79.000000;0.000000;1591548.163808;79.402774;5.000000;5.000000;0.000000
80.000000;0.000000;1591238.121276;79.390033;5.000000;5.000000;0.000000
81.000000;0.000000;1591086.022749;79.383783;5.000000;5.000000;0.000000
82.000000;0.000000;1590989.679483;79.379824;5.000000;5.000000;0.000000
83.000000;0.000000;1590912.066305;79.376634;5.000000;5.000000;0.000000
84.000000;0.000000;1590718.613881;79.368685;5.000000;5.000000;0.000000
85.000000;-0.000000;1590528.252886;79.360862;5.000000;5.000000;0.000000
86.000000;0.000000;1590433.004872;79.356948;5.000000;5.000000;0.000000
87.000000;0.000000;1590350.607565;79.353562;5.000000;5.000000;0.000000
88.000000;0.000000;1590268.209911;79.350176;5.000000;5.000000;0.000000
89.000000;0.000000;1589994.394509;79.338924;5.000000;5.000000;0.000000
90.000000;0.000000;1589415.490389;79.315134;5.000000;5.000000;0.000000
91.000000;0.000000;1589005.393362;79.298282;5.000000;5.000000;0.000000
92.000000;0.000000;1588727.460788;79.286861;5.000000;5.000000;0.000000
93.000000;0.000000;1588554.440738;79.279751;5.000000;5.000000;0.000000
94.000000;-0.000000;1588382.948772;79.272703;5.000000;5.000000;0.000000
95.000000;0.000000;1588220.436128;79.266025;5.000000;5.000000;0.000000
96.000000;0.000000;1588068.069930;79.259764;5.000000;5.000000;0.000000
97.000000;0.000000;1587911.910302;79.253346;5.000000;5.000000;0.000000
98.000000;0.000000;1587776.369784;79.247777;5.000000;5.000000;0.000000
99.000000;0.000000;1587742.994695;79.246405;5.000000;5.000000;0.000000
100.000000;0.000000;1587703.241415;79.244771;5.000000;5.000000;0.000000
101.000000;0.000000;1587658.541362;79.242935;5.000000;5.000000;0.000000
102.000000;0.000000;1587431.806010;79.233617;5.000000;5.000000;0.000000
103.000000;0.000000;1586779.993126;79.206832;5.000000;5.000000;0.000000
104.000000;0.000000;1586472.919631;79.194213;5.000000;5.000000;0.000000
105.000000;0.000000;1586337.365053;79.188642;5.000000;5.000000;0.000000
106.000000;0.000000;1586396.366097;79.191067;5.000000;5.000000;0.000000
107.000000;0.000000;1586418.970239;79.191996;5.000000;5.000000;0.000000
108.000000;0.000000;1586349.273009;79.189132;5.000000;5.000000;0.000000
109.000000;0.000000;1586372.202088;79.190074;5.000000;5.000000;0.000000
