heure,prodPV,prodHydro,prodSolTh,consChal,consECS,consFroid,consElec
4573,13.515,130.0,163.20000000000002,0.0,183.13785497647058,-0.0,206.4590438
4574,12.665000000000001,130.0,163.20000000000002,0.0,36.55358497815124,-0.0,96.53418264
4575,3.23,130.0,40.800000000000004,0.0,12.0792351327731,-0.0,82.00125797
4576,5.61,130.0,81.60000000000001,0.0,10.25345116134453,9.072,77.00664909
4577,6.205,130.0,81.60000000000001,0.0,209.97989776134452,13.23,72.79986579
4578,4.76,130.0,61.199999999999996,0.0,475.9954290756302,11.394,83.5395442
4579,1.53,130.0,20.400000000000002,0.0,286.03597908403367,-0.0,196.4382996
4580,0.0,130.0,0.0,0.0,151.30982851260507,-0.0,228.0031602
4581,0.0,130.0,0.0,0.0,44.2231411764706,-0.0,49.77723103
4582,0.0,130.0,0.0,0.0,38.6952485294118,-0.0,51.46311826
4583,0.0,130.0,0.0,0.0,22.1115705882353,-0.0,49.43843627
4584,0.0,130.0,0.0,0.0,0.0,-0.0,28.59930404
4585,0.0,130.0,0.0,0.0,0.0,-0.0,27.33488862
4586,0.0,130.0,0.0,0.0,0.0,-0.0,27.33488862
4587,0.0,130.0,0.0,0.0,0.0,-0.0,27.33488862
4588,0.0,130.0,0.0,0.0,0.0,-0.0,27.33488862
4589,1.53,130.0,20.400000000000002,0.0,0.0,-0.0,27.33488862
4590,5.1850000000000005,130.0,61.199999999999996,0.0,135.47794397142857,-0.0,47.669872
4591,9.86,130.0,122.39999999999999,0.0,469.60834397142855,-0.0,163.7710804
4592,17.764999999999997,130.0,265.2,0.0,139.6665072,-0.0,84.32736978
4593,26.52,130.0,346.8,0.0,15.73080307563025,-0.0,74.8521068
4594,32.81,130.0,428.4,0.0,13.90501910420167,-0.0,78.27106451
4595,34.255,130.0,428.4,0.0,149.43350380840332,-0.0,83.26567339
4596,40.035000000000004,130.0,489.59999999999997,0.0,298.38055306386553,-0.0,77.93226975
4597,40.205,130.0,510.0,0.0,183.13785497647058,0.567,206.4590438
4598,36.379999999999995,130.0,469.20000000000005,0.0,36.55358497815124,7.56,96.53418264
